Month,WEEK,DT,RESTAURANT_ID,REST_NAME,CITY,AREA,TOTAL_ORDERS,GMV,MENU_SESSIONS
01/06/2025,23,2025-06-06,828997,Brand D,Mumbai,Thane,2,924.6200012,10
01/06/2025,23,2025-06-06,880733,Brand C,Mumbai,Vashi,10,6374.102292,42
01/06/2025,23,2025-06-06,974354,Brand B,Mumbai,Mulund,24,9495.362417,179
01/06/2025,23,2025-06-06,974356,Brand B,Mumbai,Powai,30,10835.30232,176
01/06/2025,23,2025-06-06,1037606,Brand A,Mumbai,Andheri East,19,8466.950065,235
01/06/2025,23,2025-06-06,1074224,Brand D,Mumbai,Matunga Wadala,1,225.95,4
01/06/2025,23,2025-06-07,70556,Brand D,Mumbai,Bandra West,2,1313.3004,26
01/06/2025,23,2025-06-07,76509,Brand D,Mumbai,Malad Kan West,2,2128.701116,20
01/06/2025,23,2025-06-07,76512,Brand D,Mumbai,Marol Sakinaka,1,654.1500122,48
01/06/2025,23,2025-06-07,83864,Brand D,Mumbai,Borivali,6,3361.600431,39
01/06/2025,23,2025-06-07,184604,Brand G,Mumbai,Malad Kan East,57,24712.53255,411
01/06/2025,23,2025-06-07,656170,Brand D,Mumbai,Chembur,3,1027.1,31
01/06/2025,23,2025-06-07,668983,Brand D,Mumbai,Andheri West,1,362.45,13
01/06/2025,23,2025-06-07,688993,Brand E,Mumbai,Marol Sakinaka,7,11762.45049,114
01/06/2025,23,2025-06-07,783761,Brand D,Mumbai,CBD Belapur,2,787.9,24
01/06/2025,23,2025-06-07,880733,Brand C,Mumbai,Vashi,13,7933.751959,90
01/06/2025,23,2025-06-07,974354,Brand B,Mumbai,Mulund,27,9545.553433,219
01/06/2025,23,2025-06-07,974356,Brand B,Mumbai,Powai,46,13998.42913,229
01/06/2025,23,2025-06-07,1037606,Brand A,Mumbai,Andheri East,30,16697.95364,298
01/06/2025,23,2025-06-07,1074224,Brand D,Mumbai,Matunga Wadala,4,1528.750012,9
01/06/2025,23,2025-06-08,76512,Brand D,Mumbai,Marol Sakinaka,3,2084.550043,48
01/06/2025,23,2025-06-08,83864,Brand D,Mumbai,Borivali,3,2057.200037,35
01/06/2025,23,2025-06-08,184604,Brand G,Mumbai,Malad Kan East,55,19794.60722,385
01/06/2025,23,2025-06-08,656170,Brand D,Mumbai,Chembur,8,5508.000715,41
01/06/2025,23,2025-06-08,688993,Brand E,Mumbai,Marol Sakinaka,1,851.200376,133
01/06/2025,23,2025-06-08,783761,Brand D,Mumbai,CBD Belapur,2,651.4,16
01/06/2025,23,2025-06-08,828997,Brand D,Mumbai,Thane,1,699.6500122,12
01/06/2025,23,2025-06-08,880733,Brand C,Mumbai,Vashi,14,7468.902358,57
01/06/2025,23,2025-06-08,974354,Brand B,Mumbai,Mulund,50,15920.80384,263
01/06/2025,23,2025-06-08,974356,Brand B,Mumbai,Powai,50,16472.19456,219
01/06/2025,23,2025-06-08,1037606,Brand A,Mumbai,Andheri East,27,11530.90111,293
01/06/2025,23,2025-06-08,1074224,Brand D,Mumbai,Matunga Wadala,1,674.4000122,15
01/06/2025,24,2025-06-09,76509,Brand D,Mumbai,Malad Kan West,1,418.95,11
01/06/2025,24,2025-06-09,76512,Brand D,Mumbai,Marol Sakinaka,2,699.7500061,16
01/06/2025,24,2025-06-09,184604,Brand G,Mumbai,Malad Kan East,41,17774.1081,268
01/06/2025,24,2025-06-09,656170,Brand D,Mumbai,Chembur,1,236.45,21
01/06/2025,24,2025-06-09,688993,Brand E,Mumbai,Marol Sakinaka,2,1765.750037,69
01/06/2025,24,2025-06-09,783761,Brand D,Mumbai,CBD Belapur,1,741.6500122,12
01/06/2025,24,2025-06-09,880733,Brand C,Mumbai,Vashi,8,3920.200728,50
01/06/2025,24,2025-06-09,974354,Brand B,Mumbai,Mulund,24,8894.412455,174
01/06/2025,24,2025-06-09,974356,Brand B,Mumbai,Powai,31,9823.348186,182
01/06/2025,24,2025-06-09,1037606,Brand A,Mumbai,Andheri East,40,19948.79052,271
01/06/2025,24,2025-06-10,70556,Brand D,Mumbai,Bandra West,3,1843.700352,19
01/06/2025,24,2025-06-10,76509,Brand D,Mumbai,Malad Kan West,1,372.95,8
01/06/2025,24,2025-06-10,83864,Brand D,Mumbai,Borivali,1,372.95,21
01/06/2025,24,2025-06-10,184604,Brand G,Mumbai,Malad Kan East,45,20310.03717,282
01/06/2025,24,2025-06-10,656170,Brand D,Mumbai,Chembur,4,2043.200024,19
01/06/2025,24,2025-06-10,668983,Brand D,Mumbai,Andheri West,3,2070.200352,13
01/06/2025,24,2025-06-10,828997,Brand D,Mumbai,Thane,1,372.45,4
01/06/2025,24,2025-06-10,880733,Brand C,Mumbai,Vashi,5,1821.850758,36
01/06/2025,24,2025-06-10,974354,Brand B,Mumbai,Mulund,37,11709.27175,188
01/06/2025,24,2025-06-10,974356,Brand B,Mumbai,Powai,31,10592.38704,176
01/06/2025,24,2025-06-10,1037606,Brand A,Mumbai,Andheri East,54,19054.45774,264
01/06/2025,24,2025-06-10,1053297,Brand D,Mumbai,Powai,1,1030.350024,3
01/06/2025,24,2025-06-10,1074224,Brand D,Mumbai,Matunga Wadala,1,257.45,7
01/06/2025,24,2025-06-11,70556,Brand D,Mumbai,Bandra West,1,636.9000122,15
01/06/2025,24,2025-06-11,76508,Brand D,Mumbai,Lower Parel Worli,2,1026.850012,20
01/06/2025,24,2025-06-11,76509,Brand D,Mumbai,Malad Kan West,1,706.6503271,6
01/06/2025,24,2025-06-11,184604,Brand G,Mumbai,Malad Kan East,32,12221.30699,209
01/06/2025,24,2025-06-11,656170,Brand D,Mumbai,Chembur,2,1553.550339,31
01/06/2025,24,2025-06-11,688993,Brand E,Mumbai,Marol Sakinaka,3,2633.050012,65
01/06/2025,24,2025-06-11,783761,Brand D,Mumbai,CBD Belapur,2,1072.600012,11
01/06/2025,24,2025-06-11,880733,Brand C,Mumbai,Vashi,6,2450.784976,39
01/06/2025,24,2025-06-11,974354,Brand B,Mumbai,Mulund,34,9932.039612,174
01/06/2025,24,2025-06-11,974356,Brand B,Mumbai,Powai,45,13674.39816,182
01/06/2025,24,2025-06-11,1037606,Brand A,Mumbai,Andheri East,69,23175.3482,273
01/06/2025,24,2025-06-11,1053297,Brand D,Mumbai,Powai,1,292.95,4
01/06/2025,24,2025-06-12,76508,Brand D,Mumbai,Lower Parel Worli,2,1364.050024,13
01/06/2025,24,2025-06-12,76509,Brand D,Mumbai,Malad Kan West,2,766.9000134,11
01/06/2025,24,2025-06-12,76512,Brand D,Mumbai,Marol Sakinaka,3,2201.700037,26
01/06/2025,24,2025-06-12,83864,Brand D,Mumbai,Borivali,3,1465.999994,30
01/06/2025,24,2025-06-12,184604,Brand G,Mumbai,Malad Kan East,45,19927.89796,251
01/06/2025,24,2025-06-12,656170,Brand D,Mumbai,Chembur,4,1609.000327,20
01/06/2025,24,2025-06-12,688993,Brand E,Mumbai,Marol Sakinaka,3,2471.350315,95
01/06/2025,24,2025-06-12,783761,Brand D,Mumbai,CBD Belapur,2,745.9,7
01/06/2025,24,2025-06-12,880733,Brand C,Mumbai,Vashi,5,2919.468235,52
01/06/2025,24,2025-06-12,974354,Brand B,Mumbai,Mulund,39,11309.18353,181
01/06/2025,24,2025-06-12,974356,Brand B,Mumbai,Powai,25,8308.757418,172
01/06/2025,24,2025-06-12,1037606,Brand A,Mumbai,Andheri East,61,20064.8243,304
01/06/2025,24,2025-06-12,1074224,Brand D,Mumbai,Matunga Wadala,1,414.95,11
01/06/2025,24,2025-06-13,70556,Brand D,Mumbai,Bandra West,2,1037.100006,22
01/06/2025,24,2025-06-13,76508,Brand D,Mumbai,Lower Parel Worli,2,1428.5504,17
01/06/2025,24,2025-06-13,76509,Brand D,Mumbai,Malad Kan West,2,978.1000122,9
01/06/2025,24,2025-06-13,76512,Brand D,Mumbai,Marol Sakinaka,1,414.95,26
01/06/2025,24,2025-06-13,83864,Brand D,Mumbai,Borivali,5,2025.700012,27
01/06/2025,24,2025-06-13,184604,Brand G,Mumbai,Malad Kan East,27,11522.73648,175
01/06/2025,24,2025-06-13,656170,Brand D,Mumbai,Chembur,2,613.3999951,26
01/06/2025,24,2025-06-13,688993,Brand E,Mumbai,Marol Sakinaka,7,7153.65066,91
01/06/2025,24,2025-06-13,783761,Brand D,Mumbai,CBD Belapur,3,1114.6,20
01/06/2025,24,2025-06-13,828997,Brand D,Mumbai,Thane,1,365.95,7
01/06/2025,24,2025-06-13,880733,Brand C,Mumbai,Vashi,12,6573.001388,75
01/06/2025,24,2025-06-13,974354,Brand B,Mumbai,Mulund,39,11509.60479,218
01/06/2025,24,2025-06-13,974356,Brand B,Mumbai,Powai,34,10720.10104,182
01/06/2025,24,2025-06-13,1037606,Brand A,Mumbai,Andheri East,58,20969.0862,265
01/06/2025,24,2025-06-13,1073491,Brand D,Mumbai,Mulund,1,225.9499982,3
01/06/2025,24,2025-06-13,1074224,Brand D,Mumbai,Matunga Wadala,3,1526.050352,9
01/06/2025,24,2025-06-14,70556,Brand D,Mumbai,Bandra West,2,1020.350012,11
01/06/2025,24,2025-06-14,76508,Brand D,Mumbai,Lower Parel Worli,2,1417.300339,18
01/06/2025,24,2025-06-14,76509,Brand D,Mumbai,Malad Kan West,3,2612.850376,15
01/06/2025,24,2025-06-14,83864,Brand D,Mumbai,Borivali,3,1937.820347,27
01/06/2025,24,2025-06-14,184604,Brand G,Mumbai,Malad Kan East,57,28797.43127,345
01/06/2025,24,2025-06-14,656170,Brand D,Mumbai,Chembur,3,2064.200037,30
01/06/2025,24,2025-06-14,668983,Brand D,Mumbai,Andheri West,2,1997.699988,21
01/06/2025,24,2025-06-14,688993,Brand E,Mumbai,Marol Sakinaka,8,19099.85224,85
01/06/2025,24,2025-06-14,783761,Brand D,Mumbai,CBD Belapur,2,1322.300024,19
01/06/2025,24,2025-06-14,828997,Brand D,Mumbai,Thane,1,239.95,15
01/06/2025,24,2025-06-14,880733,Brand C,Mumbai,Vashi,8,4712.927461,81
01/06/2025,24,2025-06-14,974354,Brand B,Mumbai,Mulund,51,18422.83387,239
01/06/2025,24,2025-06-14,974356,Brand B,Mumbai,Powai,62,20745.17021,240
01/06/2025,24,2025-06-14,1037606,Brand A,Mumbai,Andheri East,78,32246.81954,341
01/06/2025,24,2025-06-14,1074224,Brand D,Mumbai,Matunga Wadala,2,905.1000122,11
01/06/2025,24,2025-06-15,70556,Brand D,Mumbai,Bandra West,3,3893.609956,19
01/06/2025,24,2025-06-15,76508,Brand D,Mumbai,Lower Parel Worli,1,337.45,9
