Month,WEEK,DT,RESTAURANT_ID,REST_NAME,CITY,AREA,TOTAL_ORDERS,GMV,MENU_SESSIONS,conversion_rate,month_year,day_of_week,is_weekend,week_from_date
2025-08-01,34,2025-08-20,688993,Brand E,Mumbai,Marol Sakinaka,3,2875.600698,61,0.04918032786885246,2025-08,Wednesday,0,34
2025-08-01,34,2025-08-20,828997,Brand D,Mumbai,Thane,1,959.6504107,20,0.05,2025-08,Wednesday,0,34
2025-08-01,34,2025-08-20,880733,Brand C,Mumbai,Vashi,9,5240.401845,87,0.10344827586206896,2025-08,Wednesday,0,34
2025-08-01,34,2025-08-20,974354,Brand B,Mumbai,Mulund,35,11390.72177,195,0.1794871794871795,2025-08,Wednesday,0,34
2025-08-01,34,2025-08-20,974356,Brand B,Mumbai,Powai,30,10229.90896,180,0.16666666666666666,2025-08,Wednesday,0,34
2025-08-01,34,2025-08-20,1037606,Brand A,Mumbai,Andheri East,73,24328.87321,316,0.2310126582278481,2025-08,Wednesday,0,34
2025-08-01,34,2025-08-20,1074224,Brand D,Mumbai,Matunga Wadala,2,710.1999951,10,0.2,2025-08,Wednesday,0,34
2025-08-01,34,2025-08-21,70556,Brand D,Mumbai,Bandra West,1,229.9500073,14,0.07142857142857142,2025-08,Thursday,0,34
2025-08-01,34,2025-08-21,76512,Brand D,Mumbai,Marol Sakinaka,4,2133.300014,35,0.11428571428571428,2025-08,Thursday,0,34
2025-08-01,34,2025-08-21,83864,Brand D,Mumbai,Borivali,4,2736.299976,29,0.13793103448275862,2025-08,Thursday,0,34
2025-08-01,34,2025-08-21,184604,Brand G,Mumbai,Malad Kan East,37,13073.16206,214,0.17289719626168223,2025-08,Thursday,0,34
2025-08-01,34,2025-08-21,656170,Brand D,Mumbai,Chembur,3,883.8500219,26,0.11538461538461539,2025-08,Thursday,0,34
2025-08-01,34,2025-08-21,688993,Brand E,Mumbai,Marol Sakinaka,4,3452.400005,79,0.05063291139240506,2025-08,Thursday,0,34
2025-08-01,34,2025-08-21,783761,Brand D,Mumbai,CBD Belapur,2,584.1949975,13,0.15384615384615385,2025-08,Thursday,0,34
2025-08-01,34,2025-08-21,880733,Brand C,Mumbai,Vashi,4,2365.900335,88,0.045454545454545456,2025-08,Thursday,0,34
2025-08-01,34,2025-08-21,974354,Brand B,Mumbai,Mulund,28,10396.3746,166,0.1686746987951807,2025-08,Thursday,0,34
2025-08-01,34,2025-08-21,974356,Brand B,Mumbai,Powai,23,7214.722163,122,0.1885245901639344,2025-08,Thursday,0,34
2025-08-01,34,2025-08-21,1037606,Brand A,Mumbai,Andheri East,82,31565.30127,304,0.26973684210526316,2025-08,Thursday,0,34
2025-08-01,34,2025-08-21,1074224,Brand D,Mumbai,Matunga Wadala,2,1100.600342,6,0.3333333333333333,2025-08,Thursday,0,34
2025-08-01,34,2025-08-22,76508,Brand D,Mumbai,Lower Parel Worli,2,1766.034976,21,0.09523809523809523,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,76509,Brand D,Mumbai,Malad Kan West,2,773.399992,8,0.25,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,76512,Brand D,Mumbai,Marol Sakinaka,1,750.1100079,30,0.03333333333333333,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,184604,Brand G,Mumbai,Malad Kan East,30,13518.88057,198,0.15151515151515152,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,656170,Brand D,Mumbai,Chembur,3,2123.701016,37,0.08108108108108109,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,668983,Brand D,Mumbai,Andheri West,1,383.449992,21,0.047619047619047616,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,688993,Brand E,Mumbai,Marol Sakinaka,5,9638.650574,101,0.04950495049504951,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,783761,Brand D,Mumbai,CBD Belapur,2,651.4199884,17,0.11764705882352941,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,828997,Brand D,Mumbai,Thane,1,719.199992,15,0.06666666666666667,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,880733,Brand C,Mumbai,Vashi,7,3715.57606,60,0.11666666666666667,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,974354,Brand B,Mumbai,Mulund,47,18816.02318,162,0.29012345679012347,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,974356,Brand B,Mumbai,Powai,55,21294.99017,172,0.31976744186046513,2025-08,Friday,0,34
2025-08-01,34,2025-08-22,1037606,Brand A,Mumbai,Andheri East,65,26635.63242,301,0.2159468438538206,2025-08,Friday,0,34
2025-08-01,34,2025-08-23,70556,Brand D,Mumbai,Bandra West,2,818.9999902,13,0.15384615384615385,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,76508,Brand D,Mumbai,Lower Parel Worli,4,7995.180762,27,0.14814814814814814,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,76509,Brand D,Mumbai,Malad Kan West,1,760.6600037,15,0.06666666666666667,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,83864,Brand D,Mumbai,Borivali,1,347.9500073,24,0.041666666666666664,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,184604,Brand G,Mumbai,Malad Kan East,51,22373.59106,262,0.1946564885496183,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,656170,Brand D,Mumbai,Chembur,6,3504.450804,40,0.15,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,668983,Brand D,Mumbai,Andheri West,2,1129.059969,13,0.15384615384615385,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,688993,Brand E,Mumbai,Marol Sakinaka,3,7408.80009,147,0.02040816326530612,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,783761,Brand D,Mumbai,CBD Belapur,5,3622.399939,15,0.3333333333333333,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,880733,Brand C,Mumbai,Vashi,15,9482.027476,134,0.11194029850746269,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,974354,Brand B,Mumbai,Mulund,28,9527.499223,182,0.15384615384615385,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,974356,Brand B,Mumbai,Powai,41,13172.14096,225,0.18222222222222223,2025-08,Saturday,1,34
2025-08-01,34,2025-08-23,1037606,Brand A,Mumbai,Andheri East,72,30135.85333,296,0.24324324324324326,2025-08,Saturday,1,34
2025-08-01,34,2025-08-24,70556,Brand D,Mumbai,Bandra West,5,3365.680404,22,0.22727272727272727,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,76508,Brand D,Mumbai,Lower Parel Worli,2,358.2499951,21,0.09523809523809523,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,76512,Brand D,Mumbai,Marol Sakinaka,5,3113.265008,21,0.23809523809523808,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,83864,Brand D,Mumbai,Borivali,2,1077.285021,31,0.06451612903225806,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,184604,Brand G,Mumbai,Malad Kan East,69,35273.59739,327,0.21100917431192662,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,656170,Brand D,Mumbai,Chembur,5,3481.71624,20,0.25,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,688993,Brand E,Mumbai,Marol Sakinaka,7,8060.501769,173,0.04046242774566474,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,783761,Brand D,Mumbai,CBD Belapur,1,358.2250012,18,0.05555555555555555,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,828997,Brand D,Mumbai,Thane,1,424.45,18,0.05555555555555555,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,880733,Brand C,Mumbai,Vashi,12,9165.469635,158,0.0759493670886076,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,974354,Brand B,Mumbai,Mulund,35,11498.94363,195,0.1794871794871795,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,974356,Brand B,Mumbai,Powai,51,16130.86538,216,0.2361111111111111,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,1037606,Brand A,Mumbai,Andheri East,83,30759.31259,307,0.2703583061889251,2025-08,Sunday,1,34
2025-08-01,34,2025-08-24,1074224,Brand D,Mumbai,Matunga Wadala,2,1012.350012,11,0.18181818181818182,2025-08,Sunday,1,34
2025-08-01,35,2025-08-25,70556,Brand D,Mumbai,Bandra West,2,5069.594918,18,0.1111111111111111,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,76508,Brand D,Mumbai,Lower Parel Worli,1,347.9500073,7,0.14285714285714285,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,76509,Brand D,Mumbai,Malad Kan West,1,1013.715025,6,0.16666666666666666,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,76512,Brand D,Mumbai,Marol Sakinaka,2,785.8999841,18,0.1111111111111111,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,83864,Brand D,Mumbai,Borivali,1,413.949992,13,0.07692307692307693,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,184604,Brand G,Mumbai,Malad Kan East,40,18895.35466,237,0.16877637130801687,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,656170,Brand D,Mumbai,Chembur,5,2452.119969,28,0.17857142857142858,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,668983,Brand D,Mumbai,Andheri West,1,382.449992,10,0.1,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,688993,Brand E,Mumbai,Marol Sakinaka,3,4134.551086,80,0.0375,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,880733,Brand C,Mumbai,Vashi,7,2828.700024,107,0.06542056074766354,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,974354,Brand B,Mumbai,Mulund,31,11901.2551,147,0.2108843537414966,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,974356,Brand B,Mumbai,Powai,52,20311.45939,180,0.28888888888888886,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,1037606,Brand A,Mumbai,Andheri East,65,23555.49732,315,0.20634920634920634,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,1073491,Brand D,Mumbai,Mulund,1,347.7500104,6,0.16666666666666666,2025-08,Monday,0,35
2025-08-01,35,2025-08-25,1074224,Brand D,Mumbai,Matunga Wadala,2,724.8999993,4,0.5,2025-08,Monday,0,35
2025-08-01,35,2025-08-26,70556,Brand D,Mumbai,Bandra West,1,382.449992,20,0.05,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-26,76508,Brand D,Mumbai,Lower Parel Worli,1,766.8608209,16,0.0625,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-26,76512,Brand D,Mumbai,Marol Sakinaka,5,2112.354992,31,0.16129032258064516,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-26,184604,Brand G,Mumbai,Malad Kan East,52,19895.91062,305,0.17049180327868851,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-26,656170,Brand D,Mumbai,Chembur,5,2736.605962,29,0.1724137931034483,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-26,668983,Brand D,Mumbai,Andheri West,2,695.9000146,15,0.13333333333333333,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-26,688993,Brand E,Mumbai,Marol Sakinaka,3,6076.876037,123,0.024390243902439025,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-26,783761,Brand D,Mumbai,CBD Belapur,3,2113.975444,24,0.125,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-26,880733,Brand C,Mumbai,Vashi,2,1055.075724,43,0.046511627906976744,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-26,974354,Brand B,Mumbai,Mulund,20,6514.673637,163,0.12269938650306748,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-26,974356,Brand B,Mumbai,Powai,26,8886.427439,132,0.19696969696969696,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-26,1037606,Brand A,Mumbai,Andheri East,102,34928.23122,316,0.3227848101265823,2025-08,Tuesday,0,35
2025-08-01,35,2025-08-27,70556,Brand D,Mumbai,Bandra West,3,2528.72087,20,0.15,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,76508,Brand D,Mumbai,Lower Parel Worli,1,739.760003,12,0.08333333333333333,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,76509,Brand D,Mumbai,Malad Kan West,4,2177.069982,11,0.36363636363636365,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,83864,Brand D,Mumbai,Borivali,1,225.9699963,12,0.08333333333333333,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,184604,Brand G,Mumbai,Malad Kan East,72,34749.90648,364,0.1978021978021978,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,656170,Brand D,Mumbai,Chembur,6,2640.810002,32,0.1875,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,688993,Brand E,Mumbai,Marol Sakinaka,2,1371.300008,165,0.012121212121212121,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,828997,Brand D,Mumbai,Thane,1,346.9500072,7,0.14285714285714285,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,880733,Brand C,Mumbai,Vashi,4,1911.349957,33,0.12121212121212122,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,974354,Brand B,Mumbai,Mulund,27,8522.854226,146,0.18493150684931506,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,974356,Brand B,Mumbai,Powai,38,12431.06595,189,0.20105820105820105,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,1037606,Brand A,Mumbai,Andheri East,77,33547.49569,332,0.2319277108433735,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-27,1074224,Brand D,Mumbai,Matunga Wadala,1,393.949992,9,0.1111111111111111,2025-08,Wednesday,0,35
2025-08-01,35,2025-08-28,70556,Brand D,Mumbai,Bandra West,2,1482.635842,25,0.08,2025-08,Thursday,0,35
2025-08-01,35,2025-08-28,76508,Brand D,Mumbai,Lower Parel Worli,2,762.6999871,19,0.10526315789473684,2025-08,Thursday,0,35
2025-08-01,35,2025-08-28,76509,Brand D,Mumbai,Malad Kan West,1,878.947971,9,0.1111111111111111,2025-08,Thursday,0,35
2025-08-01,35,2025-08-28,83864,Brand D,Mumbai,Borivali,2,1613.344987,20,0.1,2025-08,Thursday,0,35
2025-08-01,35,2025-08-28,184604,Brand G,Mumbai,Malad Kan East,84,38314.35467,367,0.22888283378746593,2025-08,Thursday,0,35
2025-08-01,35,2025-08-28,656170,Brand D,Mumbai,Chembur,3,1415.209991,23,0.13043478260869565,2025-08,Thursday,0,35
2025-08-01,35,2025-08-28,688993,Brand E,Mumbai,Marol Sakinaka,5,3442.425026,162,0.030864197530864196,2025-08,Thursday,0,35
2025-08-01,35,2025-08-28,783761,Brand D,Mumbai,CBD Belapur,1,362.4499937,17,0.058823529411764705,2025-08,Thursday,0,35
2025-08-01,35,2025-08-28,880733,Brand C,Mumbai,Vashi,1,463.0499981,42,0.023809523809523808,2025-08,Thursday,0,35
2025-08-01,35,2025-08-28,974354,Brand B,Mumbai,Mulund,16,5900.774683,109,0.14678899082568808,2025-08,Thursday,0,35
2025-08-01,35,2025-08-28,974356,Brand B,Mumbai,Powai,18,7041.138838,111,0.16216216216216217,2025-08,Thursday,0,35
2025-08-01,35,2025-08-28,1037606,Brand A,Mumbai,Andheri East,96,38222.39484,339,0.2831858407079646,2025-08,Thursday,0,35
2025-06-01,22,2025-06-01,47247,Brand F,Mumbai,Andheri West,17,13441.68024,80,0.2125,2025-06,Sunday,1,22
2025-06-01,23,2025-06-02,47247,Brand F,Mumbai,Andheri West,11,5837.889332,63,0.1746031746031746,2025-06,Monday,0,23
